Back to Contents,Data 1: U.S. Natural Gas Citygate Price (Dollars per Thousand Cubic Feet)
Sourcekey,N3050US3
Date,U.S. Natural Gas Citygate Price (Dollars per Thousand Cubic Feet)
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,3.95
1985,3.75
1986,3.22
1987,2.87
1988,2.92
1989,3.01
1990,3.03
1991,2.9
1992,3.01
1993,3.21
1994,3.07
1995,2.78
1996,3.27
1997,3.66
1998,3.07
1999,3.1
2000,4.62
2001,5.72
2002,4.12
2003,5.85
2004,6.65
2005,8.67
2006,8.61
2007,8.16
2008,9.18
2009,6.48
2010,6.18
2011,5.63
2012,4.73
2013,4.88
2014,5.71
2015,4.26
2016,3.71
2017,4.16
2018,4.23
2019,3.8
